title,link,deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time starting from 15 January 2026
zukunft.niedersachsen: Research Cooperation Lower Saxony – Israel,https://zukunft.niedersachsen.de/en/funding-offers/research-cooperation-lower-saxony-israel/,Deadline: 02 March 2026 (1 p.m. CET)
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,12 February 2026 Online Q&A (in German) 17 March 2026 Deadline
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,"14 April 2026 Deadline 06 April 2027 Deadline Online Q&As: 10. February (in German) and 23. February (in English), 1:00 to 2:30 p.m."
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-impulse-professorship/,01 June 2026 Deadline
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,Next deadline for 'taskforces' is expected for the 2nd half of 2026
AI Research Groups Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/ki-forschungsgruppen-niedersachsen/,Deadline: summer 2026
Opus Magnum,www.volkswagenstiftung.de/en/funding/funding-offer/opus-magnum,18 November 2026 Deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time starting from 15 January 2026
zukunft.niedersachsen: Research Cooperation Lower Saxony – Israel,https://zukunft.niedersachsen.de/en/funding-offers/research-cooperation-lower-saxony-israel/,Deadline: 02 March 2026 (1 p.m. CET)
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,12 February 2026 Online Q&A (in German) 17 March 2026 Deadline
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,"14 April 2026 Deadline 06 April 2027 Deadline Online Q&As: 10. February (in German) and 23. February (in English), 1:00 to 2:30 p.m."
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-impulse-professorship/,01 June 2026 Deadline
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,Next deadline for 'taskforces' is expected for the 2nd half of 2026
AI Research Groups Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/ki-forschungsgruppen-niedersachsen/,Deadline: summer 2026
Opus Magnum,www.volkswagenstiftung.de/en/funding/funding-offer/opus-magnum,18 November 2026 Deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time starting from 15 January 2026
zukunft.niedersachsen: Research Cooperation Lower Saxony – Israel,https://zukunft.niedersachsen.de/en/funding-offers/research-cooperation-lower-saxony-israel/,Deadline: 02 March 2026 (1 p.m. CET)
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,12 February 2026 Online Q&A (in German) 17 March 2026 Deadline
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,"14 April 2026 Deadline 06 April 2027 Deadline Online Q&As: 10. February (in German) and 23. February (in English), 1:00 to 2:30 p.m."
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-impulse-professorship/,01 June 2026 Deadline
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,Next deadline for 'taskforces' is expected for the 2nd half of 2026
AI Research Groups Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/ki-forschungsgruppen-niedersachsen/,Deadline: summer 2026
Data Reuse – Additional Funding for the Preparation and Storage of Research Data (Open Science),www.volkswagenstiftung.de/en/funding/funding-offer/data-reuse-additional-funding-preparation-and-storage-research-data-open-science,Apply anytime
Change! Fellowships ,www.volkswagenstiftung.de/en/funding/funding-offer/change-fellowships,"Fellowships: Next deadline in revised form, probably 2nd half of 2026 Research Groups: No further call planned"
Pioneering Research – Exploring the Unknown Unknown,www.volkswagenstiftung.de/en/funding/funding-offer/pioneering-research-exploring-unknown-unknown,The call is currently under review and will be republished in 2026.
Night Science – Space for the Creative Mind,www.volkswagenstiftung.de/en/funding/funding-offer/night-science-space-creative-mind,Next deadline presumably at the beginning of 2027
Circularity With Recycled and Biogenic Resources,www.volkswagenstiftung.de/en/funding/funding-offer/circularity-recycled-and-biogenic-resources,No open call
Transdisciplinary Approaches to Mobility and Global Health,www.volkswagenstiftung.de/en/funding/funding-offer/transdisciplinary-approaches-mobility-and-global-health,No open call
Impetus for the German Science System: Strategic Experimental Spaces – University Development Requires Flexibility,www.volkswagenstiftung.de/en/funding/funding-offer/impetus-german-science-system-strategic-experimental-spaces-university-development-requires-flexibility,No open call 11 September 2026: Meeting for Funded Projects
Researching Research: Summer Schools & Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-summer-schools-workshops,No open call
Data Reuse – Additional Funding for the Preparation and Storage of Research Data (Open Science),www.volkswagenstiftung.de/en/funding/funding-offer/data-reuse-additional-funding-preparation-and-storage-research-data-open-science,Apply anytime
Change! Fellowships ,www.volkswagenstiftung.de/en/funding/funding-offer/change-fellowships,"Fellowships: Next deadline in revised form, probably 2nd half of 2026 Research Groups: No further call planned"
Pioneering Research – Exploring the Unknown Unknown,www.volkswagenstiftung.de/en/funding/funding-offer/pioneering-research-exploring-unknown-unknown,The call is currently under review and will be republished in 2026.
Night Science – Space for the Creative Mind,www.volkswagenstiftung.de/en/funding/funding-offer/night-science-space-creative-mind,Next deadline presumably at the beginning of 2027
Circularity With Recycled and Biogenic Resources,www.volkswagenstiftung.de/en/funding/funding-offer/circularity-recycled-and-biogenic-resources,No open call
Transdisciplinary Approaches to Mobility and Global Health,www.volkswagenstiftung.de/en/funding/funding-offer/transdisciplinary-approaches-mobility-and-global-health,No open call
Impetus for the German Science System: Strategic Experimental Spaces – University Development Requires Flexibility,www.volkswagenstiftung.de/en/funding/funding-offer/impetus-german-science-system-strategic-experimental-spaces-university-development-requires-flexibility,No open call 11 September 2026: Meeting for Funded Projects
Researching Research: Summer Schools & Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-summer-schools-workshops,No open call
Data Reuse – Additional Funding for the Preparation and Storage of Research Data (Open Science),www.volkswagenstiftung.de/en/funding/funding-offer/data-reuse-additional-funding-preparation-and-storage-research-data-open-science,Apply anytime
Change! Fellowships ,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-professorship/,Application at any time after consultation with the Volkswagen Foundation
Pioneer Projects – Impetus for the German Research System,www.volkswagenstiftung.de/en/funding/funding-offer/pioneer-projects-impetus-german-research-system,No open call 11 September 2026: Meeting of funded projects
